State_Name,Crop_Year,Max Temperature,Min Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity
Assam,2012,37.2,8.2,24.4,54.4,1797,40.7,2.5,56.8,82.73
Assam,2013,38.4,7.1,24.9,51.2,1644.8,37.1,2.5,53.2,81.06
Assam,2014,40.1,9.4,25.1,49.9,1467.7,74.2,2.7,50.9,80.39
Assam,2015,37.4,9.4,24.5,50.1,1466.5,37.1,2.9,51.3,80.39
Assam,2016,39.1,5.7,25.9,52.4,5247,46.4,3.5,55.6,77.34
Assam,2017,39,9.8,26.1,54.3,4493.74,131.8,3.4,46.8,79.45
Assam,2018,38.1,8,25.3,56.7,3035.14,63,3.2,61.8,81.95
Assam,2019,39.6,10,25.5,56.5,3579.87,89.1,3.3,53.5,81.6
Bihar,1990,41.2,4.7,25,49.4,1796.93,60.7,3.3,41.4,73.54
Bihar,1991,42.1,5.7,25.2,49.8,1208.11,85,3.5,34.6,70.25
Bihar,1992,42.2,6.9,25.5,54.3,910.87,79.1,3.6,30.2,66.5
Bihar,1993,43.1,-6.3,25.3,50,1985.61,49.4,3.6,36.8,70.04
Bihar,1994,45,6.9,25.4,53.8,3102.98,114.8,3.7,34.7,71.48
Bihar,1995,44.3,5.6,25.6,53,1952.18,55.4,3.5,40.5,69.43
Bihar,1996,44.8,7.1,25.5,49.9,1631.07,34.6,3.5,37,68.4
Bihar,1997,42.7,7,25,49.5,2326.34,49.3,3.3,45.9,69.74
Bihar,1998,45,6.5,26.6,53.2,1846.33,37.1,3.5,49.8,72.47
Bihar,1999,43.8,5.9,26.5,54.4,2166.11,33.5,3.4,42.4,70.99
Bihar,2000,41.1,6.3,26.1,51,4155.13,55.4,3.4,41,70.51
Bihar,2001,43.1,5.1,25.8,48.9,5292.84,46.1,3.9,36.5,65.72
Bihar,2002,42.1,7.4,25.8,49.7,1784.42,46.8,3,42.3,71.42
Bihar,2003,43.3,3.5,25,51.9,2418.43,36,2.7,39.3,71.29
Bihar,2004,44.3,5.2,25.4,48.3,1579.84,38.3,2.7,38.6,71.29
Bihar,2005,45.1,7.1,26.6,53.2,1525.34,63.4,3.4,40.4,65.46
Bihar,2006,42.5,5.5,25.8,49.8,2079.52,33.9,2.9,35.2,68.01
Bihar,2007,44.7,6.4,25.3,48.4,2070.72,30.9,2.9,39.9,71.26
Bihar,2008,43.1,6,26.1,47.5,2163.73,55.4,3.1,42.3,68.36
Bihar,2009,45.1,5.9,26.6,72,1160.99,81.4,3.2,36.7,62.79
Bihar,2010,45.3,4.2,27,52.7,1217.97,59.4,3,43.3,64.35
Bihar,2011,43.1,3.2,26,50.1,1789.05,64.8,2.9,35.8,68.08
Bihar,2012,45.1,5.4,26.4,51.5,1579.43,92.5,3,33.4,63.41
Bihar,2013,43.1,2.1,25.7,52.2,1441.26,46.4,3,37.9,69.35
Bihar,2014,43.1,4.7,26.1,52.4,1311.39,31.7,3.1,38,68.7
Bihar,2015,45.1,5.1,26.5,52.8,1502.02,55.4,3.2,38,68.11
Bihar,2016,43.6,6.5,26.3,51.9,17.1,29.5,3.1,39.8,69.76
Bihar,2017,43.3,5.1,25.8,49.2,288.3,93.3,3.2,29.6,70.82
Bihar,2018,42.5,4.2,25.5,52.4,25.92,33.5,3.3,34.8,68.79
Bihar,2019,44.3,4.7,25.6,48.4,2.6,122.5,3.2,33.7,69.59
Chhattisgarh,1990,43.4,1.4,25.8,44.1,1723.9,70.2,5,45.2,62.75
Chhattisgarh,1991,45.9,6.7,26.9,45.6,1136,27.7,5.2,44.8,60.05
Chhattisgarh,1992,43.4,3.1,26.7,45.7,1429.4,177.5,5,34.5,55.88
Chhattisgarh,1993,45.9,9.7,26.9,45.7,1753.4,194.4,4.7,46.1,60.69
Chhattisgarh,1994,44.9,9.4,26.6,50.4,1592,40.7,5.8,41,61.37
Chhattisgarh,1995,46.1,10.7,26.5,51.3,1192.7,188.6,5.2,45,66.22
Chhattisgarh,1996,42,9.1,24.8,43.4,999.7,90,4.7,46,69.72
Chhattisgarh,1997,43.7,10.1,26.6,48.6,757.9,27.7,5.2,40.6,56.58
Chhattisgarh,1998,46.4,10.2,26.1,49.1,856.9,118.4,4.2,48.2,69.15
Chhattisgarh,1999,45.1,8.9,27.3,52.5,952.2,175.7,4.2,41.9,63.17
Chhattisgarh,2000,45.1,10.1,27.2,57.7,2253.4,55.4,4.1,40.9,61.35
Chhattisgarh,2001,45.2,9.4,27,51.7,3093.3,74.2,4,41.1,59.31
Chhattisgarh,2002,44.9,9.1,27.2,56.9,1057.5,74.2,4,37.7,59.14
Chhattisgarh,2003,46.1,8.2,27,47,1777.7,63,4,43.7,61.41
Chhattisgarh,2004,43.9,10.1,26.5,47,952.7,46.4,4,37.4,62.67
Chhattisgarh,2005,45.4,10.4,26.9,53.3,1992.8,40.7,4,39.7,60.64
Chhattisgarh,2006,43.7,10.9,26.9,47.5,1083.1,64.8,4.4,38.6,63.28
Chhattisgarh,2007,44.2,11.4,26.7,49.1,1472.5,64.8,4.3,38.4,62.11
Chhattisgarh,2008,43.9,9.7,26.8,53.2,902.7,51.8,4,41.5,60.91
Chhattisgarh,2009,45.9,12.4,28,46.4,1162.9,57.2,3.9,35.5,54.94
Chhattisgarh,2010,46.1,10.1,27.6,47.3,1196.2,37.1,3.9,41,60.66
Chhattisgarh,2011,43.1,9.1,26.6,47.5,1511.2,27.7,3.9,34.9,63.04
Chhattisgarh,2012,46.7,9.1,27.2,47.8,1746.4,55.4,4,36.2,59.73
Chhattisgarh,2013,46.1,10.1,26.8,46.3,1529,37.1,3.9,40.7,62.94
Chhattisgarh,2014,45.2,10.1,27.1,51,1165.8,46.4,3.9,38,61.23
Chhattisgarh,2015,46.1,10.9,27.1,47.4,977.5,25.9,3.8,35.8,61.36
Chhattisgarh,2016,44.1,11.1,28.5,54.1,2154.43,92.6,4.3,36.7,59.72
Chhattisgarh,2017,45.4,10.1,28.1,48.9,1428.2,38.9,4.4,33.5,56.66
Chhattisgarh,2018,44.1,10.1,27.2,49.9,2558.27,61.6,4.3,34,58.55
Chhattisgarh,2019,45.1,10.1,27.6,48.8,2475.84,50.4,4.3,37.1,62.02
Goa,1990,34.6,3.1,27.1,43.6,4933.02,90,20,67.6,83.99
Goa,1991,33.6,20.2,27,43.7,4714,43.2,20.8,68.3,83.68
Goa,1992,37.4,18,26.8,48.9,4317.24,44.5,20.4,68.3,84.57
Goa,1993,34,18.9,26.8,44.1,5969.77,69.2,20,69.5,85.54
Goa,1994,33.8,15.3,27,44.9,5355.73,47.6,19.1,70.6,85.56
Goa,1995,34.6,19.4,26.7,47.2,6769.42,169.7,18.4,70.5,86.47
Goa,1996,33.3,20.1,27.2,46,6181.95,38.5,18.5,73.6,85.26
Goa,1997,40.1,20.2,27.1,47.9,3821.32,183.6,19.4,67.9,84.01
Goa,1998,39.1,21.4,27.8,52.6,5100.53,126,18.8,67.5,85.69
Goa,1999,34.9,20.4,27.2,47.1,2948.78,43.2,17.8,78.8,88.01
Goa,2000,33.4,18.3,27.3,48.2,7956.79,85.8,18.2,76.3,87.66
Goa,2001,35.6,21.6,27.4,46,6773.93,37.6,17.8,74.8,86.36
Goa,2002,34.3,21.5,27.3,49.8,5198.3,75.6,18.2,67.5,85.75
Goa,2003,34.9,20.2,27.3,46.8,4138.61,36.7,17.1,67.4,83.33
Goa,2004,34.5,19.4,27.1,47.3,5376.71,70.6,17.1,70.4,84.93
Goa,2005,35.9,20.2,27.2,50.9,6576.53,59.7,16.7,70.1,85.46
Goa,2006,35,21,27.4,50.6,6733.69,88.1,16.8,70.8,86.28
Goa,2007,33.4,21.9,27.6,48.4,7261.33,50.8,17.8,70.6,87.92
Goa,2008,34.6,21.6,27.3,48.7,8734.49,34.2,17,75.9,88.92
Goa,2009,33.3,22.2,27.3,47.9,7461.15,32.9,16.8,76.5,89.51
Goa,2010,35.5,21.4,27.7,52.4,7093.81,25.2,17.9,69.5,88.47
Goa,2011,33.3,22.5,27.2,51.5,8381.74,40.7,16.3,78.6,89.66
Goa,2012,33.9,22.5,27.5,48.6,7178.5,27.7,17,74.1,87.49
Goa,2013,33.8,22.3,27.3,49.4,6007.85,42.8,16.2,75.7,87.85
Goa,2014,34.1,19.4,27.3,47.6,4945.82,66.3,15.6,71.8,85.21
Goa,2015,33.3,19.5,27.3,45.4,4587.93,61.4,15.5,66.8,86.46
Goa,2016,34.1,20.9,27.8,46.6,5410.5,65.4,15.2,68,86.52
Goa,2017,34.1,22.3,27.5,48.5,5877.34,27,15.1,75.4,85.76
Goa,2018,33.6,22,27.6,45.9,6129.96,34.7,14.5,71.9,85.55
Goa,2019,34.2,21,27.7,48.2,4049.42,69.5,13.9,65.6,84.86
Uttar Pradesh,1990,58.2,2.9,24.5,50.5,1285.96,74.2,3.5,40.6,68.95
Uttar Pradesh,1991,44.1,4.7,24.8,51.6,1026.6,70.2,3,33.4,66.25
Uttar Pradesh,1992,44.7,6.4,24.8,52.6,713.2,55.4,2.9,30,65.35
Uttar Pradesh,1993,44.4,4.9,24.6,50.4,640.9,53.6,2.9,35.4,67.35
Uttar Pradesh,1994,45.1,5.7,24.7,65.8,880.9,92.5,2.6,33.7,65.66
Uttar Pradesh,1995,46.9,5.4,25.1,52.2,804.9,183.2,2.7,40.5,64.05
Uttar Pradesh,1996,44.2,1.2,24.4,51.2,898.2,100.1,3.1,38.9,66.49
Uttar Pradesh,1997,43.1,5.1,24,52.7,7.7,74.2,4,49.8,67.65
Uttar Pradesh,1998,45.1,5.1,24.9,51.8,67,64.8,3.8,42.9,69.81
Uttar Pradesh,1999,45.1,4.1,25.3,56.8,373.6,55.4,3.4,39,66.72
Uttar Pradesh,2000,43.1,6.1,24.7,55.1,618.3,36,3.7,34.2,67.68
Uttar Pradesh,2001,44.1,4.1,25,53.1,499.8,42.5,5.4,34.8,66.18
Uttar Pradesh,2002,44.1,5.1,25.2,52.4,165.4,37.1,3.8,26.4,61.23
Uttar Pradesh,2003,45.1,4.1,26,54.5,727.1,33.5,3.7,42.4,67.45
Uttar Pradesh,2004,44.1,4.1,25.7,56.5,694.5,37.1,3.6,37,68.6
Uttar Pradesh,2005,46.1,4.1,25.7,56.5,969,79.6,4.5,39.7,63
Uttar Pradesh,2006,42.1,4.1,25.9,52.7,882.6,44.3,4.3,37.4,65.76
Uttar Pradesh,2007,44.1,6.1,25.6,54.1,703.9,37.1,4.2,37,65.92
Uttar Pradesh,2008,43.1,5.1,25,49.7,1347.1,55.4,4,38.7,67.12
Uttar Pradesh,2009,45.1,6.1,26,54.1,801.7,59.4,4.3,34.3,62.97
Uttar Pradesh,2010,45.1,5.1,26.1,50.4,1007.33,61.2,4,35.9,65.6
Uttar Pradesh,2011,43.1,3.1,25.1,53.7,1179.2,81.4,4.1,31.7,68.41
Uttar Pradesh,2012,45.1,3.1,25.3,52.4,1037.82,85.3,3.9,30.9,63.87
Uttar Pradesh,2013,43.1,2.1,25,51,1240.22,31.3,3.6,39.6,70.86
Uttar Pradesh,2014,48.1,2.1,26.5,59.8,848.2,37.1,3.5,37.8,64.07
Uttar Pradesh,2015,47.1,5.1,27.1,55,620.38,31.7,3.6,36.6,63.37
Uttar Pradesh,2016,46.1,3.1,26.3,59.9,807.5,38.9,3.1,36.4,67.97
Uttar Pradesh,2017,47.1,2,26.2,64.5,1170.54,46.4,2.8,31.7,67.22
Uttar Pradesh,2018,48.1,4.1,25.7,62,856.82,37.1,2.8,29.9,66.51
Uttar Pradesh,2019,44.2,1.7,25.2,49.6,257.3,33.5,2.9,34.1,68.56
Himachal Pradesh,1990,41.1,-4.9,20.5,52.8,505.5,133.2,2.9,54.9,71.12
Himachal Pradesh,1991,39.7,3.7,22.2,46,361.3,27.7,7.4,45.7,64.89
Himachal Pradesh,1992,39.4,-3.1,23.6,47.6,380.7,11.2,8.5,62.3,60.98
Himachal Pradesh,1993,23.2,23.2,23.2,,0,11.2,10,0,78.23
Himachal Pradesh,1994,22,22,22,,0,1.8,,0,73.76
Himachal Pradesh,1995,-1.3,-1.3,-1.3,,0,1.8,,100,
Himachal Pradesh,1996,12.9,12.9,12.9,,0,5.4,4,50,83.65
Himachal Pradesh,1997,18.1,18.1,18.1,,0,0,4,30,91.54
Himachal Pradesh,1998,31.1,31.1,31.1,42.2,0,129.6,,0,83.14
Himachal Pradesh,1999,32.4,32.4,32.4,41.7,0,0,2,60,70.72
Himachal Pradesh,2000,24.7,24.7,24.7,,0,9.4,,0,36.16
Himachal Pradesh,2001,31.9,17.1,24.5,37.5,0,7.2,4.5,20,76.21
Himachal Pradesh,2002,33.4,20.1,26.9,34.6,0,27.7,10.4,52,61.74
Himachal Pradesh,2003,31.9,-5.6,15.3,35.2,0,7.2,27.3,73.3,82.07
Himachal Pradesh,2004,22.7,22.7,22.7,,0,0,4,40,66.74
Himachal Pradesh,2005,28.1,28.1,28.1,26.6,0,22.3,8,0,8.89
Himachal Pradesh,2006,33.1,32.1,32.6,36.9,0,32.4,10.5,25,41.02
Himachal Pradesh,2007,23.4,14.1,18.7,,0,3.6,4,50,59.31
Himachal Pradesh,2008,23.9,7.4,14.1,,0,32.4,12,26.7,50.66
Himachal Pradesh,2009,22.1,-6.6,8.9,,0,11.2,9,43.3,73.2
Himachal Pradesh,2010,21.4,21.1,21.2,,0,9.4,2.5,30,53.52
Himachal Pradesh,2011,33.1,33.1,33.1,36.2,0,9.4,6,30,49.41
Himachal Pradesh,2012,25.4,25.4,25.4,,0,0,4,10,18.72
Himachal Pradesh,2013,24.1,0.7,11.5,,45.7,43.2,3.2,30.8,67.84
Himachal Pradesh,2014,42.1,0.4,20.4,49.6,2504.25,177.7,3.6,35.5,66.35
Himachal Pradesh,2015,45.1,-3.6,22,59.9,2665.27,177.7,4.2,37.4,63.47
Himachal Pradesh,2016,39.5,-0.1,18.6,51.7,2760.28,25.9,3.7,33.4,64.8
Himachal Pradesh,2017,44.1,-1.1,22.4,65.8,2627.17,44.6,4.3,44.4,68.15
Uttarakhand,1990,36.9,8.9,21.9,45.7,106.8,14.8,3.9,50.8,65.9
Uttarakhand,1991,11.9,9.4,10.6,,0,,6,55,87.14
Uttarakhand,1992,37.4,6.2,19.9,40.3,207,170.3,3.7,27.3,69.95
Uttarakhand,1993,41.4,3.4,21.4,64.7,2482.2,92.5,3.6,37.8,68.92
Uttarakhand,1994,40.9,3.9,21.6,43,2043.6,92.5,3.6,35.4,65.27
Uttarakhand,1995,43.1,4.2,21.5,44.5,1580.1,177.5,3.6,39.4,67.13
Uttarakhand,1996,39.1,2.9,21.1,40.5,2306.7,59,3.5,39.6,69.11
Uttarakhand,1997,37.4,3.1,20.3,41.9,2416.8,20.5,3.5,47.3,71.58
Uttarakhand,1998,38.9,0.1,21.8,51.2,2916.4,177.5,3.5,43.5,74.66
Uttarakhand,1999,39.9,3.7,22.4,42.9,2171.5,13,3.6,38.9,67.53
Uttarakhand,2000,37.2,2.7,21.2,43,5394.5,175.7,3.3,40.7,71.47
Uttarakhand,2001,39.4,3.7,21.8,44.1,5283.2,38.9,3.4,36.9,69.07
Uttarakhand,2002,38.4,3.9,21.7,44.1,1988.7,74.2,3.4,35.6,69.63
Uttarakhand,2003,40.1,2.2,21.3,43.2,1804.6,22.3,3.5,38,67.84
Uttarakhand,2004,41.4,4.1,21.7,42.7,1963.7,24.1,3.1,39.4,69.52
Uttarakhand,2005,40.9,4.9,21.5,45.6,2118.9,20.5,3.3,43.7,67.79
Uttarakhand,2006,37.4,4.9,22.1,47.3,1807.2,74.2,3.2,44.6,68.93
Uttarakhand,2007,39.9,3.1,21.4,43.8,2546.7,92.5,3.3,40.5,70.53
Uttarakhand,2008,38.4,3.1,21.4,44.4,2364.5,14.8,3.1,45,71.42
Uttarakhand,2009,41.4,5.1,21.9,44.3,1743.4,37.1,3.2,41,67.42
Uttarakhand,2010,40.7,3.9,22.2,43.8,3160.4,55.4,3.1,40.8,68.03
Uttarakhand,2011,37.7,3.4,21.2,42.4,2679.1,33.5,3,43.2,72.12
Uttarakhand,2012,42.4,4.1,21.6,44.1,2278.3,57.2,3,40.9,67.4
Uttarakhand,2013,39.7,0.1,21.4,45.6,3398.8,42.5,3,43.5,72.46
Uttarakhand,2014,40.1,4.7,21.5,45.9,1910.7,16.6,3,42.1,70.28
Uttarakhand,2015,40.4,4.3,21.5,51.7,1740.3,18.4,2.8,43.5,72.13
Uttarakhand,2016,39.2,4.7,22.3,48.8,2154.33,22.3,2.6,40.7,73.31
Uttarakhand,2017,38.7,3.2,22.2,44,2747.86,18.3,2.4,42.9,74.09
Uttarakhand,2018,40.1,3.9,21.9,45.1,2658.49,37.1,2.2,40.1,73.48
Uttarakhand,2019,40,4.1,21.9,47.9,2054.15,37,2.2,46.3,75.1
Jharkhand,1990,39.2,2.1,23.2,44.7,1656.2,46.4,3.6,55.6,71.58
Jharkhand,1991,40.4,0.4,24.3,47.6,1691.8,177.5,3.8,46.7,65.66
Jharkhand,1992,39.2,6.1,23.2,38.6,1231.7,59,3.9,36.4,59.23
Jharkhand,1993,41.9,6.4,23.8,60.7,1336.2,94.3,3.9,44.2,63.14
Jharkhand,1994,41.7,2.1,24,42.5,2502.6,211,3.6,45.7,62.63
Jharkhand,1995,42.4,5.4,24,45.5,1611.4,203.4,3.8,50.1,63.11
Jharkhand,1996,41.2,6.4,23.9,39.3,1320.1,120.2,3.8,43.3,58.95
Jharkhand,1997,40.7,6.4,24.2,41.3,1551.3,33.5,3.8,56.8,61.41
Jharkhand,1998,41.9,6.7,24,45.7,1976.5,37.1,3.8,55.6,68.91
Jharkhand,1999,41.2,6.2,24,42.3,1780.1,29.5,3.7,45.8,64.24
